Acquisition Date,Collection Category,Collection Number,Corner Lower Left Lat DMS,Corner Lower Left Latitude,Corner Lower Left Long DMS,Corner Lower Left Longitude,Corner Lower Right Lat DMS,Corner Lower Right Latitude,Corner Lower Right Long DMS,Corner Lower Right Longitude,Corner Upper Left Lat DMS,Corner Upper Left Latitude,Corner Upper Left Long DMS,Corner Upper Left Longitude,Corner Upper Right Lat DMS,Corner Upper Right Latitude,Corner Upper Right Long DMS,Corner Upper Right Longitude,Data Type L2,Date Acquired,Date Product Generated L1,Date Product Generated L2,Date Updated,Datum,Day/Night Indicator,Display ID,Ellipsoid,Entity ID,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Land Cloud Cover,Landsat Product Identifier L1,Landsat Product Identifier L2,Landsat Scene Identifier,NE Corner Lat,NE Corner Lat dec,NE Corner Long,NE Corner Long dec,NW Corner Lat,NW Corner Lat dec,NW Corner Long,NW Corner Long dec,Nadir/Off Nadir,Processing Software Version,Product Map Projection L1,Publication Date,Resolution,Roll Angle,SE Corner Lat,SE Corner Lat dec,SE Corner Long,SE Corner Long dec,SW Corner Lat,SW Corner Lat dec,SW Corner Long,SW Corner Long dec,Satellite,Scene Center Lat DMS,Scene Center Latitude,Scene Center Long DMS,Scene Center Longitude,Scene Cloud Cover L1,Sensor Identifier,Start Time,Station Identifier,Stop Time,Sun Azimuth L0RA,Sun Elevation L0RA,TIRS SSM Model,Target WRS Path,Target WRS Row,UTM Zone,WRS Path,WRS Row,source
,T1,2,"22°06'48.02""N",22.11334,"50°10'50.63""E",50.18073,"22°06'36.18""N",22.11005,"52°19'17.08""E",52.32141,"24°05'58.42""N",24.09956,"50°10'06.92""E",50.16859,"24°05'45.38""N",24.09594,"52°20'27.53""E",52.34098,OLI_TIRS_L2SP,4/1/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_162044_20130401_20200913_02_T1,WGS84,LC81620442013091LGN02,6.53,4.272,4.938,806,5,0,LC08_L1TP_162044_20130401_20200913_02_T1,LC08_L2SP_162044_20130401_20200913_02_T1,LC81620442013091LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"23°06'45.72""N",23.1127,"51°15'12.78""E",51.25355,0,OLI_TIRS,02:34.6,LGN,03:04.4,124.9306684,60.35994913,ACTUAL,162,44,39,162,44,Landsat
,T1,2,"22°07'00.84""N",22.1169,"56°22'21.65""E",56.37268,"22°06'38.88""N",22.1108,"58°32'43.19""E",58.54533,"24°06'01.80""N",24.1005,"56°21'48.24""E",56.3634,"24°05'37.61""N",24.09378,"58°34'05.48""E",58.56819,OLI_TIRS_L2SP,4/8/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_158044_20130408_20200913_02_T1,WGS84,LC81580442013098LGN04,4.287,3.422,2.583,887,5,0.81,LC08_L1TP_158044_20130408_20200913_02_T1,LC08_L2SP_158044_20130408_20200913_02_T1,LC81580442013098LGN04,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"23°06'45.14""N",23.11254,"57°27'48.38""E",57.46344,3.61,OLI_TIRS,38:01.6,LGN,38:31.4,121.390816,62.48251683,ACTUAL,158,44,40,158,44,Landsat
,T1,2,"26°26'42.18""N",26.44505,"51°16'07.72""E",51.26881,"26°25'23.59""N",26.42322,"53°30'45.50""E",53.51264,"28°25'19.81""N",28.42217,"51°16'25.14""E",51.27365,"28°23'54.31""N",28.39842,"53°33'27.94""E",53.55776,OLI_TIRS_L2SP,4/11/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_162041_20130411_20200913_02_T1,WGS84,LC81620412013101LGN02,5.416,4.038,3.61,798,5,10.11,LC08_L1TP_162041_20130411_20200913_02_T1,LC08_L2SP_162041_20130411_20200913_02_T1,LC81620412013101LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"27°25'52.39""N",27.43122,"52°24'11.12""E",52.40309,7.52,OLI_TIRS,01:23.6,LGN,01:53.4,127.6645697,61.50243848,ACTUAL,162,41,39,162,41,Landsat
,T1,2,"25°00'04.90""N",25.00136,"50°55'25.28""E",50.92369,"24°59'09.35""N",24.98593,"53°08'38.11""E",53.14392,"26°58'53.76""N",26.9816,"50°55'20.64""E",50.9224,"26°57'53.14""N",26.96476,"53°10'48.47""E",53.18013,OLI_TIRS_L2SP,4/11/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_162042_20130411_20200913_02_T1,WGS84,LC81620422013101LGN02,4.145,3.092,2.761,196,5,1.06,LC08_L1TP_162042_20130411_20200913_02_T1,LC08_L2SP_162042_20130411_20200913_02_T1,LC81620422013101LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"25°59'33.43""N",25.99262,"52°02'36.49""E",52.04347,5.03,OLI_TIRS,01:47.5,LGN,02:17.3,125.1266684,62.16928972,ACTUAL,162,42,39,162,42,Landsat
,T1,2,"23°33'33.55""N",23.55932,"50°35'00.82""E",50.58356,"23°32'58.78""N",23.54966,"52°46'55.42""E",52.78206,"25°32'23.64""N",25.5399,"50°34'37.09""E",50.57697,"25°31'45.59""N",25.52933,"52°48'36.86""E",52.81024,OLI_TIRS_L2SP,4/11/2013,9/12/2020,9/12/2020,,WGS84,DAY,LC08_L2SP_162043_20130411_20200912_02_T1,WGS84,LC81620432013101LGN02,5.695,3.585,4.425,496,5,2.32,LC08_L1TP_162043_20130411_20200912_02_T1,LC08_L2SP_162043_20130411_20200912_02_T1,LC81620432013101LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"24°33'11.09""N",24.55308,"51°41'23.93""E",51.68998,13.81,OLI_TIRS,02:11.4,LGN,02:41.2,122.477079,62.77957634,ACTUAL,162,43,39,162,43,Landsat
,T1,2,"22°06'49.25""N",22.11368,"50°15'01.94""E",50.25054,"22°06'32.94""N",22.10915,"52°25'44.40""E",52.429,"24°05'59.75""N",24.09993,"50°14'21.95""E",50.23943,"24°05'41.82""N",24.09495,"52°27'00.61""E",52.45017,OLI_TIRS_L2SP,4/11/2013,9/12/2020,9/12/2020,,WGS84,DAY,LC08_L2SP_162044_20130411_20200912_02_T1,WGS84,LC81620442013101LGN02,7.053,4.696,5.262,827,5,0.38,LC08_L1TP_162044_20130411_20200912_02_T1,LC08_L2SP_162044_20130411_20200912_02_T1,LC81620442013101LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"23°06'45.32""N",23.11259,"51°20'31.99""E",51.34222,0.38,OLI_TIRS,02:35.3,LGN,03:05.1,119.7188851,63.3294477,ACTUAL,162,44,39,162,44,Landsat
,T1,2,"26°24'43.60""N",26.41211,"54°47'57.48""E",54.7993,"26°25'44.51""N",26.42903,"57°04'45.23""E",57.07923,"28°24'53.39""N",28.41483,"54°45'33.23""E",54.75923,"28°25'59.70""N",28.43325,"57°04'50.41""E",57.08067,OLI_TIRS_L2SP,4/13/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_160041_20130413_20200913_02_T1,WGS84,LC81600412013103LGN02,4.996,3.353,3.703,874,5,1.51,LC08_L1TP_160041_20130413_20200913_02_T1,LC08_L2SP_160041_20130413_20200913_02_T1,LC81600412013103LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"27°25'53.11""N",27.43142,"55°55'46.60""E",55.92961,1.26,OLI_TIRS,47:19.4,LGN,47:49.2,126.766236,62.10608948,ACTUAL,160,41,40,160,41,Landsat
,T1,2,"24°58'17.29""N",24.97147,"54°27'15.48""E",54.4543,"24°59'34.66""N",24.99296,"56°42'34.78""E",56.70966,"26°58'26.69""N",26.97408,"54°24'38.84""E",54.41079,"26°59'51.25""N",26.99757,"56°42'16.88""E",56.70469,OLI_TIRS_L2SP,4/13/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_160042_20130413_20200913_02_T1,WGS84,LC81600422013103LGN02,4.596,3.175,3.322,758,5,0.08,LC08_L1TP_160042_20130413_20200913_02_T1,LC08_L2SP_160042_20130413_20200913_02_T1,LC81600422013103LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"25°59'34.33""N",25.99287,"55°34'11.78""E",55.56994,0.3,OLI_TIRS,47:43.3,LGN,48:13.1,124.1464394,62.75158864,ACTUAL,160,42,40,160,42,Landsat
,T1,2,"23°31'49.51""N",23.53042,"54°06'56.70""E",54.11575,"23°33'20.84""N",23.55579,"56°20'43.69""E",56.34547,"25°31'58.26""N",25.53285,"54°04'10.52""E",54.06959,"25°33'38.41""N",25.56067,"56°20'05.93""E",56.33498,OLI_TIRS_L2SP,4/13/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_160043_20130413_20200913_02_T1,WGS84,LC81600432013103LGN02,4.534,3.469,2.92,722,5,0.02,LC08_L1TP_160043_20130413_20200913_02_T1,LC08_L2SP_160043_20130413_20200913_02_T1,LC81600432013103LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"24°33'11.20""N",24.55311,"55°12'58.93""E",55.21637,0.12,OLI_TIRS,48:07.2,LGN,48:37.0,121.4125066,63.33827251,ACTUAL,160,43,40,160,43,Landsat
,T1,2,"22°05'10.93""N",22.08637,"53°46'47.86""E",53.77996,"22°06'53.93""N",22.11498,"55°59'19.57""E",55.98877,"24°05'28.46""N",24.09124,"53°43'54.41""E",53.73178,"24°07'21.94""N",24.12276,"55°58'25""E",55.97361,OLI_TIRS_L2SP,4/13/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_160044_20130413_20200913_02_T1,WGS84,LC81600442013103LGN02,4.885,3.157,3.728,725,5,0,LC08_L1TP_160044_20130413_20200913_02_T1,LC08_L2SP_160044_20130413_20200913_02_T1,LC81600442013103LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"23°06'45.29""N",23.11258,"54°52'06.78""E",54.86855,0,OLI_TIRS,48:31.1,LGN,49:00.9,118.5694783,63.86194987,ACTUAL,160,44,40,160,44,Landsat
